fuel_type,salt_type,U235F4_mole_frac,UF4_mole_frac,pitch,Tave_fuel,mod_salt_ratio,k_inf,conversion_ratio,fast_flux_graph,feedback_doppler,labels
1.0,3.0,14.0,10.0,16.0,1000.0,5.367,1.07788,0.540581,58.388,-0.3,1
1.0,1.0,14.0,10.0,1.0,1000.0,7.9135,1.10011,0.568555,82.5365,-0.95,13
1.0,2.0,14.0,10.0,1.0,1000.0,7.9135,1.05357,0.605243,74.3664,-4.78,8
1.0,3.0,14.0,10.0,1.0,1000.0,7.9135,1.01451,0.607072,74.302,-5.53,3
1.0,1.0,14.0,10.0,4.75,1000.0,7.9135,1.29347,0.418283,85.5879,-0.85,13
1.0,2.0,14.0,10.0,4.75,1000.0,7.9135,1.23098,0.455139,77.5233,3.95,8
1.0,3.0,14.0,10.0,4.75,1000.0,7.9135,1.05774,0.515511,79.1687,-1.65,3
1.0,1.0,14.0,10.0,8.5,1000.0,7.9135,1.34832,0.378396,88.1166,5.67,13
1.0,2.0,14.0,10.0,8.5,1000.0,7.9135,1.28954,0.404263,84.2489,1.27,8
1.0,3.0,14.0,10.0,8.5,1000.0,7.9135,1.07923,0.506561,75.0761,-2.32,3
2.0,1.0,5.0,90.0,16.0,900.0,5.367,1.02412,0.854487,92.2146,0.0,16
1.0,1.0,14.0,10.0,12.25,1000.0,7.9135,1.36165,0.363714,90.2426,-0.81,19
1.0,2.0,14.0,10.0,12.25,1000.0,7.9135,1.31273,0.3805,87.5412,-0.03,8
1.0,3.0,14.0,10.0,12.25,1000.0,7.9135,1.08401,0.506367,71.4946,-2.09,1
1.0,1.0,14.0,10.0,16.0,1000.0,7.9135,1.35511,0.365078,88.8548,-1.75,19
1.0,2.0,14.0,10.0,16.0,1000.0,7.9135,1.3067,0.382401,87.6629,-3.6,8
1.0,3.0,14.0,10.0,16.0,1000.0,7.9135,1.08202,0.52496,64.9531,-0.03,1
1.0,1.0,14.0,10.0,1.0,1000.0,10.46,1.13431,0.528847,95.938,-4.78,13
1.0,2.0,14.0,10.0,1.0,1000.0,10.46,1.08294,0.569201,87.2825,-1.9,8
1.0,3.0,14.0,10.0,1.0,1000.0,10.46,1.00482,0.583797,86.3759,-6.23,3
1.0,1.0,14.0,10.0,4.75,1000.0,10.46,1.33812,0.383993,96.7999,-1.94,13
2.0,2.0,5.0,90.0,16.0,900.0,5.367,0.946812,0.924304,91.9257,0.0,2
1.0,2.0,14.0,10.0,4.75,1000.0,10.46,1.27207,0.416102,88.0611,0.0100000000001,8
1.0,3.0,14.0,10.0,4.75,1000.0,10.46,1.06645,0.47317,92.3048,-0.2,3
1.0,1.0,14.0,10.0,8.5,1000.0,10.46,1.38339,0.352286,96.909,4.24,13
1.0,2.0,14.0,10.0,8.5,1000.0,10.46,1.31762,0.380084,90.7873,-0.59,8
1.0,3.0,14.0,10.0,8.5,1000.0,10.46,1.08836,0.467769,86.8707,0.56,3
1.0,1.0,14.0,10.0,12.25,1000.0,10.46,1.38623,0.345946,96.1789,1.59,19
1.0,2.0,14.0,10.0,12.25,1000.0,10.46,1.3337,0.364657,93.1866,2.4,8
1.0,3.0,14.0,10.0,12.25,1000.0,10.46,1.08927,0.483581,78.8044,-1.13,1
1.0,1.0,14.0,10.0,16.0,1000.0,10.46,1.36939,0.347808,94.6222,-3.07,19
1.0,2.0,14.0,10.0,16.0,1000.0,10.46,1.32317,0.361214,92.3404,0.47,8
2.0,3.0,5.0,10.0,12.25,900.0,2.8205,0.0929664,20.1999,41.5876,0.0,14
2.0,3.0,5.0,90.0,16.0,900.0,5.367,0.578038,1.73923,64.3171,0.0,3
1.0,3.0,14.0,10.0,16.0,1000.0,10.46,1.08383,0.503877,71.4275,-1.37,1
2.0,1.0,14.0,10.0,1.0,1000.0,0.274,0.248386,6.37609,18.4562,-4.247,13
2.0,2.0,14.0,10.0,1.0,1000.0,0.274,0.213997,7.14699,15.4945,-2.692,2
2.0,3.0,14.0,10.0,1.0,1000.0,0.274,0.184762,8.93796,17.2255,-1.975,14
2.0,1.0,14.0,10.0,4.75,1000.0,0.274,0.291233,5.27279,25.1721,-5.833,13
2.0,2.0,14.0,10.0,4.75,1000.0,0.274,0.25378,5.98387,24.9338,-3.097,2
2.0,3.0,14.0,10.0,4.75,1000.0,0.274,0.187177,8.57895,19.8688,-0.869,14
2.0,1.0,14.0,10.0,8.5,1000.0,0.274,0.357639,4.25508,40.5568,-11.051,13
2.0,2.0,14.0,10.0,8.5,1000.0,0.274,0.315318,4.6932,42.0297,-4.694,2
2.0,3.0,14.0,10.0,8.5,1000.0,0.274,0.188683,8.28074,25.5204,-1.719,14
2.0,1.0,5.0,90.0,1.0,900.0,7.9135,0.76258,1.40788,90.0149,0.0,10
2.0,1.0,14.0,10.0,12.25,1000.0,0.274,0.414983,3.58759,53.0166,-2.169,16
2.0,2.0,14.0,10.0,12.25,1000.0,0.274,0.363498,3.91504,54.9261,-0.227,2
2.0,3.0,14.0,10.0,12.25,1000.0,0.274,0.191783,7.86206,32.258,0.369,14
2.0,1.0,14.0,10.0,16.0,1000.0,0.274,0.454874,3.18087,60.8174,-1.95,16
2.0,2.0,14.0,10.0,16.0,1000.0,0.274,0.393862,3.58273,62.7005,-6.825,2
2.0,3.0,14.0,10.0,16.0,1000.0,0.274,0.194454,7.3806,40.3145,-1.776,14
2.0,1.0,14.0,10.0,1.0,1000.0,2.8205,0.333262,4.47594,53.2371,-6.736,13
2.0,2.0,14.0,10.0,1.0,1000.0,2.8205,0.274609,5.34451,45.8823,-2.494,2
2.0,3.0,14.0,10.0,1.0,1000.0,2.8205,0.192021,7.65774,48.5918,-1.805,14
2.0,1.0,14.0,10.0,4.75,1000.0,2.8205,0.429461,3.41083,58.9367,-2.342,13
2.0,2.0,5.0,90.0,1.0,900.0,7.9135,0.674285,1.61966,79.5839,0.0,2
2.0,2.0,14.0,10.0,4.75,1000.0,2.8205,0.360524,3.94821,56.7273,-1.897,2
2.0,3.0,14.0,10.0,4.75,1000.0,2.8205,0.197106,6.89435,54.3951,-0.843,14
2.0,1.0,14.0,10.0,8.5,1000.0,2.8205,0.493902,2.85662,71.7595,-3.624,13
2.0,2.0,14.0,10.0,8.5,1000.0,2.8205,0.424864,3.1893,71.7495,-5.102,2
2.0,3.0,14.0,10.0,8.5,1000.0,2.8205,0.201564,6.43936,62.2761,-0.405,14
2.0,1.0,14.0,10.0,12.25,1000.0,2.8205,0.531654,2.61166,79.234,-0.888,16
2.0,2.0,14.0,10.0,12.25,1000.0,2.8205,0.457168,2.90107,79.9438,-3.526,2
2.0,3.0,14.0,10.0,12.25,1000.0,2.8205,0.204433,6.2654,68.3847,-1.351,14
2.0,1.0,14.0,10.0,16.0,1000.0,2.8205,0.54009,2.53012,81.5128,-8.938,16
2.0,2.0,14.0,10.0,16.0,1000.0,2.8205,0.470327,2.78264,84.8707,-0.463,2
2.0,3.0,5.0,90.0,1.0,900.0,7.9135,0.529376,2.02445,81.0044,0.0,3
2.0,3.0,14.0,10.0,16.0,1000.0,2.8205,0.206827,5.98155,73.5343,0.491,14
2.0,1.0,14.0,10.0,1.0,1000.0,5.367,0.417668,3.43577,77.5896,-2.399,13
2.0,2.0,14.0,10.0,1.0,1000.0,5.367,0.335515,4.19846,68.5012,0.877,3
2.0,3.0,14.0,10.0,1.0,1000.0,5.367,0.194998,6.94839,70.3543,-2.592,3
2.0,1.0,14.0,10.0,4.75,1000.0,5.367,0.512235,2.71481,77.4155,-2.001,13
2.0,2.0,14.0,10.0,4.75,1000.0,5.367,0.421498,3.25883,73.2645,-3.351,3
2.0,3.0,14.0,10.0,4.75,1000.0,5.367,0.20533,5.87418,75.5773,0.211,3
2.0,1.0,14.0,10.0,8.5,1000.0,5.367,0.553348,2.43894,84.1572,-2.96,13
2.0,2.0,14.0,10.0,8.5,1000.0,5.367,0.472181,2.78291,84.5553,1.728,3
